cpf,nome,formPgto,nrocartao
427.861.481-52,Trisha Mc Faul,TODAS,5100134557817080
237.417.968-71,Berky Eat,CARTAO,3542386927968700
715.104.626-11,Prudence Koopman,TODAS,3529741351125200
000.929.312-11,Blanche Gansbuhler,CARTAO,4911875054590180000
839.134.322-26,Edouard Sleford,DINHEIRO,3543683254332690
064.021.499-59,Adriena Mournian,DINHEIRO,3534608993832330
034.106.523-90,Heywood Blenkin,DINHEIRO,30555444197690
262.816.438-92,Emylee Huntall,DINHEIRO,3543097342004880
591.485.073-24,Crysta Berecloth,CARTAO,3559462851258700
092.359.724-03,Darelle Gounin,TODAS,4041377870490160
895.104.272-07,Raddy Stegers,CARTAO,3571451455443310
696.254.872-52,Olav Cluatt,TODAS,4917173815888510
665.544.010-82,Averell Tommei,CARTAO,3556352499654960
871.363.226-58,Renault Broscombe,TODAS,6761757385601790
919.267.742-82,Byrom O' Faherty,CARTAO,372301478544762
748.417.412-79,Blane Pountain,DINHEIRO,3552097371237010
274.389.214-69,Keenan Espley,TODAS,3528997189656620
565.159.547-91,Geri Roberti,CARTAO,374283876004268
831.341.524-26,Diann Debrett,TODAS,5100178752025670
414.967.587-34,Broderic Tallon,CARTAO,3545105491625100
144.912.622-72,Davidson Glaze,TODAS,3563891892643910
430.355.428-36,Monah Gerdts,CARTAO,5100137243387010
950.562.635-11,Rhett Filyashin,TODAS,201422319861368
285.963.878-73,Hedy Seale,CARTAO,560221042762225000
162.703.968-53,Karry Beynon,CARTAO,337941930566723
809.163.197-98,Kimberli Marcu,TODAS,3585877701042200
285.842.750-87,Ingelbert Devine,CARTAO,5002359783566610
306.810.881-73,Helenka Footitt,TODAS,5602257009154570
200.588.751-15,Papagena Bampforth,CARTAO,6759043310555740000
445.188.490-59,Carena Sattin,TODAS,3551306764189730
691.402.711-85,Jaquelyn MacCallister,CARTAO,6767685549403220
305.768.967-14,Harwilll McGirl,TODAS,4911014281183460000
056.327.949-63,Dianemarie McLane,CARTAO,3570701124088360
062.179.130-42,Genevieve Message,TODAS,6331104483045360
469.515.671-64,Bear Flaunders,CARTAO,30289125129539
917.053.449-23,Charo Westmacott,TODAS,374288576212558
206.172.417-49,Flory Spinnace,CARTAO,5602218493029140
277.912.685-34,Goldy Stanbra,TODAS,201530249744544
159.721.471-61,Grady Pancast,CARTAO,201491337524514
642.749.204-71,Corissa Doveston,DINHEIRO,4913175225375990
369.557.971-42,Suzanne Beavington,DINHEIRO,5405910777586740
802.438.086-25,Charline Fuente,DINHEIRO,3589505721564630
642.295.473-76,Nixie Costan,CARTAO,3530248932779310
030.669.322-27,Ewen Peaseman,TODAS,3544440385813060
931.145.089-28,Corri Thoma,CARTAO,3583421831036630
425.618.946-19,Carin Richarson,TODAS,3560749207871980
338.930.075-15,Chelsey Joyce,CARTAO,5100177193117770
385.873.249-80,Ignacio McDonagh,TODAS,5602221242097760
464.860.114-40,Donelle Follin,CARTAO,30119162581336
909.364.364-60,Lazaro Downer,TODAS,3555588072989230
638.224.310-10,Mord Burner,CARTAO,4041375472073
393.525.069-85,Coleen Ternouth,TODAS,3571961882702700
525.294.469-95,Tana Durnall,CARTAO,3581948451821860
747.709.620-27,Zechariah Alaway,CARTAO,6763191323828070000
482.047.667-75,Lynnett Eldritt,TODAS,5100130203914820
890.747.785-91,Borg Toombs,CARTAO,30197981869751
216.188.863-79,Anallese Quelch,TODAS,670653116357900000
214.729.078-62,Madelene Vickors,CARTAO,4041593337488420
287.087.456-68,Peder Falls,TODAS,3589602116545750
428.779.665-98,Elmo Silliman,CARTAO,3535573087332270
821.581.539-06,Andrey McGonigle,TODAS,30162563380023
543.933.747-12,Dwayne Ortas,CARTAO,3560605856231110
935.418.518-52,Ferne Seagrave,TODAS,6334716826432840000
187.189.585-06,Hart Burgoine,CARTAO,3533122858318210
756.909.235-10,Norman Congram,TODAS,6380351728838460
332.301.415-96,Celinda Twigg,CARTAO,4661139028026
571.069.734-64,Benny Adlem,TODAS,63042977743562500
919.599.813-58,Julienne Gauford,CARTAO,3546060055336320
431.736.860-90,Gilberta Senecaut,DINHEIRO,3547483813655440
155.920.575-92,Dayna Ashurst,DINHEIRO,3569691653909750
674.811.878-62,Fletcher Handmore,DINHEIRO,3575496675280250
685.432.955-78,Tim Mowson,CARTAO,4175001172051260
257.779.819-59,Barbra Smitherham,TODAS,3579876483181280
442.969.340-20,Meade Nials,CARTAO,3573219472932470
280.604.214-95,Deanne Sangra,TODAS,3531019898135030
728.318.149-18,Obed Semper,CARTAO,3580304095715430
590.617.511-27,Errick Bavister,TODAS,5589058058778480
148.219.242-67,Crosby Morshead,CARTAO,3575291324310600
550.473.476-38,Elbertine Bafford,DINHEIRO,490315471322136000
052.948.467-35,Alphonso Winterborne,DINHEIRO,4405374276200530
517.270.651-78,Lona Julien,DINHEIRO,56022582737532700
047.255.227-25,Trev Pile,DINHEIRO,36130030125069
074.055.272-62,Linus Caldeyroux,CARTAO,30344027465265
851.658.223-03,Matt Giercke,TODAS,4041377952569
671.618.998-94,Jenilee Springthorpe,CARTAO,3576947590550320
004.594.148-14,Maggi Andreou,TODAS,6396208635683200
400.020.113-23,Tonnie Beckworth,CARTAO,201564023817853
550.089.899-54,Jake Mozzi,TODAS,4903749139454450
789.432.235-54,Emalia Barrable,CARTAO,5364637863750650
511.980.691-15,Brita Tripet,DINHEIRO,3585017377274220
963.995.899-59,Tristan Dudny,TODAS,3563604159546740
065.725.493-53,Annice Pauly,CARTAO,5048370966468950
480.094.041-64,Kris Whitmell,TODAS,3540483486494340
033.414.689-06,Andros Filan,CARTAO,3563141229450960
